"Device Name","Group","IP Address","Network","MAC Address","Vendor","Status","Last Seen","First Seen"
"Fireplace","iOT","192.168.1.235","LAN 1","CC:8C:BF:65:87:CA","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","November 2, 2025 5:16 PM"
"Xiamen Intretech","iOT","192.168.1.33","LAN 1","A4:0D:BC:08:06:D8","Xiamen Intretech","Online","November 8, 2025 3:15 PM","October 27, 2024 9:56 AM"
"Amico Smart Recessed Light 2","iOT","192.168.1.187","LAN 1","C0:F8:53:08:CE:7F","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","May 8, 2025 2:33 PM"
"Levoit-Purifier","iOT","192.168.1.99","LAN 1","C4:5B:BE:B0:5C:9C","Espressif Inc.","Online","November 8, 2025 3:15 PM","May 15, 2024 7:21 AM"
"GrowHub","iOT","192.168.1.117","LAN 1","34:85:18:36:7E:60","Espressif Inc.","Online","November 8, 2025 3:15 PM","May 15, 2024 7:21 AM"
"Tempest_HB-00147807","iOT","192.168.1.82","LAN 1","6C:2A:DF:E0:17:F1","Unknown","Online","November 8, 2025 3:15 PM","June 4, 2024 5:12 PM"
"hydrawise-7041","iOT","192.168.1.51","LAN 1","FC:0F:E7:91:70:41","Microchip Technology Inc.","Online","November 8, 2025 3:15 PM","August 19, 2025 9:36 AM"
"net_a1_E5A8","iOT","192.168.1.76","LAN 1","B8:8C:29:C8:E5:A8","Unknown","Online","November 8, 2025 3:15 PM","June 3, 2024 8:58 AM"
"Smart Plug","iOT","192.168.1.18","LAN 1","5C:62:8B:AA:EC:57","Unknown","Online","November 8, 2025 3:15 PM","May 15, 2024 11:30 AM"
"EP25","iOT","192.168.1.166","LAN 1","DC:62:79:39:95:44","Unknown","Online","November 8, 2025 3:15 PM","January 24, 2025 8:14 AM"
"Unknown","iOT","192.168.1.95","LAN 1","B0:8B:A8:4A:7E:24","Unknown","Online","November 8, 2025 3:15 PM","December 17, 2024 5:57 PM"
"EP40","iOT","192.168.1.109","LAN 1","9C:53:22:A1:C8:2E","Unknown","Online","November 8, 2025 3:15 PM","June 3, 2024 8:59 AM"
"Meross_Smart_Garage","iOT","192.168.1.120","LAN 1","48:E1:E9:89:A1:11","Chengdu Meross Technology","Online","November 8, 2025 3:15 PM","May 15, 2024 11:29 AM"
"Tuya Smart Inc.","iOT","192.168.1.86","LAN 1","38:2C:E5:FB:A5:4A","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","November 2, 2025 10:14 AM"
"BroadLink-Remote-ba-72-82","iOT","192.168.1.119","LAN 1","E8:70:72:BA:72:82","Hangzhou BroadLink Technology Co.,Ltd","Online","November 8, 2025 3:15 PM","May 22, 2025 4:41 PM"
"AirPurifyer C545","iOT","192.168.1.103","LAN 1","84:72:07:7C:57:B2","I&C Technology","Online","November 8, 2025 3:15 PM","May 15, 2024 11:29 AM"
"Amico Smart Recessed Light 10","iOT","192.168.1.88","LAN 1","C0:F8:53:08:CC:85","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","May 11, 2025 11:14 AM"
"EP25","iOT","192.168.1.203","LAN 1","DC:62:79:39:9A:04","TP-LINK CORPORATION PTE. LTD.","Online","November 8, 2025 3:15 PM","September 20, 2025 1:12 PM"
"birdnet-go","iOT","192.168.1.114","LAN 1","50:8B:B9:6E:0B:82","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","May 15, 2024 7:21 AM"
"Amico Smart Recessed Light 3","iOT","192.168.1.70","LAN 1","C0:F8:53:08:CE:55","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","May 8, 2025 2:32 PM"
"Amico Smart Recessed Light 8","iOT","192.168.1.60","LAN 1","C0:F8:53:08:D7:04","Tuya Smart Inc.","Online","November 8, 2025 3:15 PM","May 11, 2025 11:13 AM"
"PitBoss Grill","iOT","192.168.1.15","LAN 1","30:83:98:76:95:E8","Unknown","Online","November 8, 2025 3:15 PM","May 15, 2024 10:03 AM"
"prusa-mini","iOT","192.168.1.124","LAN 1","18:FE:34:F7:9D:65","Espressif","Online","November 8, 2025 3:15 PM","January 8, 2025 11:00 AM"
